link_name,lane,date_release
aatrox,Top,2013-06-13
ahri,Mid,2011-12-14
akali,Mid,2010-05-11
akshan,Mid,2021-07-23
alistar,Support,2009-02-21
ambessa,,
amumu,Jungle,2009-06-26
anivia,Mid,2009-07-10
annie,Mid,2009-02-21
aphelios,ADC,2019-12-11
ashe,ADC,2009-02-21
aurelionsol,Mid,2016-03-24
aurora,,
azir,Mid,2014-09-16
bard,Support,2015-03-12
belveth,Jungle,2022-06-09
blitzcrank,Support,2009-09-02
brand,Mid,2011-04-12
braum,Support,2014-05-12
briar,Jungle,2023-09-14
caitlyn,ADC,2011-01-04
camille,Top,2016-12-07
cassiopeia,Mid,2010-12-14
chogath,Top,2009-06-26
corki,Mid,2009-09-19
darius,Top,2012-05-23
diana,Jungle,2012-08-07
drmundo,Top,2009-09-02
draven,ADC,2012-06-06
ekko,Jungle,2015-05-29
elise,Jungle,2012-10-26
evelynn,Jungle,2009-05-01
ezreal,ADC,2010-03-16
fiddlesticks,Jungle,2009-02-21
fiora,Top,2012-02-29
fizz,Mid,2011-11-15
galio,Mid,2010-08-10
gangplank,Top,2009-08-19
garen,Top,2010-04-27
gnar,Top,2014-08-14
gragas,Top,2010-02-02
graves,Jungle,2011-10-19
gwen,Top,2021-04-15
hecarim,Jungle,2012-04-18
heimerdinger,Mid,2009-10-10
hwei,Mid,2023-12-05
illaoi,Top,2015-11-24
irelia,Top,2010-11-16
ivern,Jungle,2016-10-05
janna,Support,2009-09-02
jarvaniv,Jungle,2011-03-01
jax,Top,2009-02-21
jayce,Top,2012-07-07
jhin,ADC,2016-02-01
jinx,ADC,2013-10-10
ksante,Top,2022-11-02
kaisa,ADC,2018-03-07
kalista,ADC,2014-11-20
karma,Support,2011-02-01
karthus,Jungle,2009-06-12
kassadin,Mid,2009-08-07
katarina,Mid,2009-09-19
kayle,Top,2009-02-21
kayn,Jungle,2017-07-12
kennen,Top,2010-04-08
khazix,Jungle,2012-09-27
kindred,Jungle,2015-10-14
kled,Top,2016-08-10
kogmaw,ADC,2010-06-24
leblanc,Mid,2010-11-02
leesin,Jungle,2011-04-02
leona,Support,2011-07-13
lillia,Jungle,2020-07-22
lissandra,Mid,2013-04-30
lucian,ADC,2013-08-22
lulu,Support,2012-03-20
lux,Support,2010-10-19
malphite,Top,2009-09-02
malzahar,Mid,2010-06-01
maokai,Support,2011-02-16
masteryi,Jungle,2009-02-21
milio,Support,2023-03-22
missfortune,ADC,2010-09-08
mordekaiser,Top,2010-02-24
morgana,Support,2009-02-21
naafiri,Mid,2023-07-19
nami,Support,2012-12-07
nasus,Top,2009-10-01
nautilus,Support,2012-02-14
neeko,Mid,2018-12-05
nidalee,Jungle,2009-12-17
nilah,ADC,2022-07-13
nocturne,Jungle,2011-03-15
nunu,,
olaf,Top,2010-06-09
orianna,Mid,2011-06-01
ornn,Top,2017-08-23
pantheon,Top,2010-02-02
poppy,Top,2010-01-13
pyke,Support,2018-05-31
qiyana,Mid,2018-06-28
quinn,ADC,2013-03-01
rakan,Support,2017-04-19
rammus,Jungle,2009-07-10
reksai,Jungle,2014-12-11
rell,Support,2020-12-11
renataglasc,Support,2022-02-17
renekton,Top,2011-01-18
rengar,Jungle,2011-08-21
riven,Top,2011-09-14
rumble,Top,2011-04-26
ryze,Mid,2009-02-21
samira,ADC,2021-09-21
sejuani,Jungle,2012-01-17
senna,Support,2019-11-10
sett,Top,2020-01-14
shaco,Jungle,2009-10-10
shen,Top,2010-03-24
shyvana,Jungle,2011-11-01
singed,Top,2009-04-18
sion,Top,2009-02-21
sivir,ADC,2009-02-21
skarner,Jungle,2011-08-09
smolder,ADC,2024-01-31
sona,Support,2010-09-21
soraka,Support,2009-02-21
swain,Mid,2010-10-05
sylas,Mid,2019-01-25
syndra,Mid,2012-09-13
seraphine,Support,2020-10-29
tahmkench,Support,2015-07-09
taliyah,Mid,2016-05-18
talon,Jungle,2011-08-24
taric,Support,2009-08-19
teemo,Top,2009-02-21
thresh,Support,2013-01-23
tristana,ADC,2009-02-21
trundle,Jungle,2010-12-01
tryndamere,Top,2009-05-01
twistedfate,Mid,2009-02-21
twitch,ADC,2009-05-01
udyr,Jungle,2009-12-02
urgot,Top,2010-08-24
varus,ADC,2012-05-08
vayne,ADC,2011-05-10
veigar,Mid,2009-07-24
velkoz,Mid,2014-02-27
vex,Mid,2021-09-23
vi,Jungle,2012-12-19
viego,Jungle,2021-01-21
viktor,Mid,2011-12-29
vladimir,Mid,2010-07-27
volibear,Jungle,2011-11-29
warwick,Jungle,2009-02-21
monkeyking,Top,2011-07-26
xayah,ADC,2017-04-19
xerath,Mid,2011-10-05
xinzhao,Jungle,2010-07-13
yasuo,Mid,2013-12-13
yone,Mid,2020-08-06
yorick,Top,2011-06-22
yuumi,Support,2019-05-14
zac,Jungle,2013-03-29
zed,Mid,2012-11-13
zeri,ADC,2022-01-20
ziggs,ADC,2012-02-01
zilean,Support,2009-04-18
zoe,Mid,2017-11-21
zyra,Support,2012-07-24
